"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"27632",3,3,2,0,"week  3","no_prob","2",0,"US"
"27641",3,1,2,0,"week  3","no_email","2",0,"US"
"2765",3,4,2,185,"week  3","prob_email","2",1,"US"
"27661",3,1,2,0,"week  3","no_email","2",0,"US"
"27702",3,5,2,32,"week  3","prob_email","2",1,"US"
"27782",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"27792",3,4,2,0,"week  3","prob_email","2",0,"US"
"2784",3,4,2,0,"week  3","prob_email","2",0,"US"
"27862",3,6,2,40,"week  3","rel_prob_email","2",1,"US"
"27891",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"27902",3,4,2,0,"week  3","prob_email","2",0,"US"
"27941",3,6,2,76,"week  3","rel_prob_email","2",1,"US"
"2796",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28001",3,1,2,0,"week  3","no_email","2",0,"US"
"2801",3,1,2,0,"week  3","no_email","2",0,"US"
"28062",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"28142",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28172",3,4,2,0,"week  3","prob_email","2",0,"US"
"28213",3,7,2,266,"week  3","rel_prob_email","2",1,"US"
"28241",3,1,2,0,"week  3","no_email","2",0,"US"
"2826",3,5,2,248,"week  3","prob_email","2",1,"US"
"2828",3,5,2,0,"week  3","prob_email","2",0,"US"
"28321",3,1,2,0,"week  3","no_email","2",0,"US"
"28332",3,5,2,0,"week  3","prob_email","2",0,"US"
"2837",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28461",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28472",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28481",3,1,2,0,"week  3","no_email","2",0,"US"
"28513",3,1,2,0,"week  3","no_email","2",0,"US"
"28531",3,1,2,0,"week  3","no_email","2",0,"US"
"28541",3,7,2,4,"week  3","rel_prob_email","2",1,"US"
"28561",3,1,2,0,"week  3","no_email","2",0,"US"
"28583",3,3,2,0,"week  3","no_prob","2",0,"US"
"28592",3,4,2,0,"week  3","prob_email","2",0,"US"
"28602",3,1,2,0,"week  3","no_email","2",0,"US"
"28621",3,1,2,64,"week  3","no_email","2",1,"US"
"28642",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"2868",3,2,2,0,"week  3","no_prob","2",0,"US"
"28692",3,5,2,622,"week  3","prob_email","2",1,"US"
"28731",3,1,2,136,"week  3","no_email","2",1,"US"
"2884",3,2,2,0,"week  3","no_prob","2",0,"US"
"28911",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"28932",3,6,2,17,"week  3","rel_prob_email","2",1,"US"
"28951",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"28962",3,5,2,0,"week  3","prob_email","2",0,"US"
"2898",3,3,2,0,"week  3","no_prob","2",0,"US"
"28992",3,3,2,0,"week  3","no_prob","2",0,"US"
"29042",3,3,2,0,"week  3","no_prob","2",0,"US"
"29081",3,6,2,204,"week  3","rel_prob_email","2",1,"US"
"29091",3,4,2,0,"week  3","prob_email","2",0,"US"
"29101",3,5,2,0,"week  3","prob_email","2",0,"US"
"29211",3,4,2,0,"week  3","prob_email","2",0,"US"
"29222",3,4,2,0,"week  3","prob_email","2",0,"US"
"29241",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"29251",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"29333",3,3,2,0,"week  3","no_prob","2",0,"US"
"29341",3,3,2,8,"week  3","no_prob","2",1,"US"
"29411",3,3,2,0,"week  3","no_prob","2",0,"US"
"29421",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"29453",3,2,2,0,"week  3","no_prob","2",0,"US"
"2947",3,5,2,0,"week  3","prob_email","2",0,"US"
"2956",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"29571",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"29581",3,3,2,0,"week  3","no_prob","2",0,"US"
"29622",3,4,2,0,"week  3","prob_email","2",0,"US"
"29641",3,3,2,0,"week  3","no_prob","2",0,"US"
"29651",3,4,2,0,"week  3","prob_email","2",0,"US"
"29703",3,1,2,0,"week  3","no_email","2",0,"US"
"29802",3,4,2,0,"week  3","prob_email","2",0,"US"
"2981",3,1,2,0,"week  3","no_email","2",0,"US"
"29841",3,5,2,0,"week  3","prob_email","2",0,"US"
"2985",3,3,2,0,"week  3","no_prob","2",0,"US"
"29893",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"29911",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"29922",3,3,2,0,"week  3","no_prob","2",0,"US"
"29981",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"29992",3,5,2,4,"week  3","prob_email","2",1,"US"
"30001",3,1,2,0,"week  3","no_email","2",0,"US"
"30011",3,5,2,0,"week  3","prob_email","2",0,"US"
